MIRNA_ID	HAIRPIN_ID	FULL_ALIGN_HAIRPIN_START_INDEX	FULL_ALIGN_HAIRPIN_END_INDEX
hsa-let-7a-5p	hsa-let-7a-3	4	25
hsa-let-7a-5p	hsa-let-7a-2	5	26
hsa-let-7a-5p	hsa-let-7a-1	6	27
hsa-let-7a-5p	hsa-let-7f-2	8	29
hsa-let-7a-5p	hsa-let-7f-1	7	28
hsa-let-7a-5p	hsa-let-7e	8	29
hsa-let-7a-5p	hsa-let-7c	11	28
hsa-let-7a-5p	hsa-let-7d	9	29
hsa-let-7a-5p	hsa-let-7b	6	21
hsa-let-7a-3p	hsa-let-7a-3	52	72
hsa-let-7a-3p	hsa-let-7a-1	57	77
hsa-let-7a-3p	hsa-let-7f-2	58	78
hsa-let-7a-2-3p	hsa-let-7a-2	50	71
hsa-let-7b-5p	hsa-let-7b	6	27
hsa-let-7b-5p	hsa-let-7c	11	32
hsa-let-7b-5p	hsa-let-7a-3	4	19
hsa-let-7b-5p	hsa-let-7a-2	5	20
hsa-let-7b-5p	hsa-let-7a-1	6	21
hsa-let-7b-3p	hsa-let-7b	60	81
hsa-let-7c-5p	hsa-let-7c	11	32
hsa-let-7c-5p	hsa-let-7b	6	27
hsa-let-7c-5p	hsa-let-7a-3	4	21
hsa-let-7c-5p	hsa-let-7a-2	5	22
hsa-let-7c-5p	hsa-let-7a-1	6	23
hsa-let-7c-3p	hsa-let-7c	56	77
hsa-let-7d-5p	hsa-let-7d	8	29
hsa-let-7d-5p	hsa-let-7a-3	5	25
hsa-let-7d-5p	hsa-let-7a-2	6	26
hsa-let-7d-5p	hsa-let-7a-1	7	27
hsa-let-7d-3p	hsa-let-7d	62	83
hsa-let-7e-5p	hsa-let-7e	8	29
hsa-let-7e-5p	hsa-let-7a-3	4	25
hsa-let-7e-5p	hsa-let-7a-2	5	26
hsa-let-7e-5p	hsa-let-7a-1	6	27
hsa-let-7e-3p	hsa-let-7e	53	74
hsa-let-7f-5p	hsa-let-7f-2	8	29
hsa-let-7f-5p	hsa-let-7f-1	7	28
hsa-let-7f-5p	hsa-let-7a-3	4	25
